epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7773.01,0.619,2.33249,1.2864,0.83555,0.78002,0.86995,0.79191,0.47208,1.86738,0.67466,0.00998776,0.00332925,0.00998776,0.00332925,0.00998776,0.00332925,0.00998776,0.00332925
2,13277.7,0.37333,0.99751,1.05425,0.77184,0.79827,0.84789,0.7919,0.37762,1.51568,0.55158,0.019592,0.00653067,0.019592,0.00653067,0.019592,0.00653067,0.019592,0.00653067
3,18301.1,0.39139,0.82034,1.05064,0.68115,0.78522,0.7831,0.72862,0.40373,1.4434,0.58207,0.0288002,0.00960008,0.0288002,0.00960008,0.0288002,0.00960008,0.0288002,0.00960008
4,34262.5,0.35757,0.6833,1.02241,0.8895,0.81757,0.91695,0.89097,0.28885,0.84415,0.46618,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,41707.2,0.30784,0.54943,0.99455,0.94252,0.95392,0.96579,0.95754,0.24185,0.48175,0.40851,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,46657.9,0.2723,0.47292,0.97332,0.95263,0.94242,0.95964,0.92629,0.30286,0.51462,0.46163,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,51477.1,0.25176,0.41364,0.96327,0.95494,0.953,0.97996,0.97452,0.22164,0.42959,0.34545,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,56288.3,0.23267,0.38114,0.95422,0.96887,0.94642,0.97826,0.97559,0.2198,0.39091,0.34142,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,61130,0.21624,0.35652,0.94763,0.96642,0.95024,0.98291,0.97962,0.22347,0.33177,0.33642,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,65953.5,0.20532,0.33622,0.94172,0.92417,0.94525,0.97354,0.97126,0.21509,0.47812,0.3932,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,70775.4,0.1996,0.31669,0.93869,0.96951,0.95841,0.98897,0.98743,0.20544,0.32911,0.32815,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
